browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1470,956,MacOS,en-US,2026-04-27_17:48:11,2026-04-27_18:48:11,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,294.991

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"53",test,नीला,yellow,incongruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,48,"16.67",228611,right,982,"1",""
"51",test,हरा,red,incongruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,48,"16.67",230072,left,658,"1",""
"47",test,लाल,green,incongruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,48,"16.67",233859,up,2996,"1",""
"46",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"5","","","","",801,48,"16.69",235359,left,712,"1",""
"60",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,48,"16.67",237968,down,1822,"1",""
"55",test,लाल,yellow,incongruent,hindi,word,"800",right,"",left right up down,"6","","","","",801,48,"16.68",239394,right,631,"1",""
"54",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",240773,left,577,"1",""
"57",test,पीला,green,incongruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",242880,up,1317,"1",""
"59",test,हरा,blue,incongruent,hindi,word,"800",down,"",left right up down,"6","","","","",801,48,"16.68",244698,down,1018,"1",""
"56",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.67",246422,right,926,"1",""
"58",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",248410,up,1197,"1",""
"61",test,नीला,red,incongruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.68",250126,left,913,"1",""
"63",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.66",259088,left,3092,"1",""
"68",test,HARA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",801,48,"16.69",260848,left,969,"1",""
