browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1920,1080,Windows,en-US,2026-04-28_17:09:17,2026-04-28_22:39:17,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,389.772

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"49",test,पीला,blue,incongruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,48,"16.66",319090,down,3984,"1",""
"51",test,हरा,red,incongruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,48,"16.67",320802,left,912,"1",""
"52",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,48,"16.67",323074,down,1484,"1",""
"53",test,नीला,yellow,incongruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,48,"16.67",325329,right,1456,"1",""
"48",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,48,"16.66",327346,right,1222,"1",""
"59",test,हरा,blue,incongruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,48,"16.67",329178,down,1038,"1",""
"57",test,पीला,green,incongruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",331162,up,1189,"1",""
"61",test,नीला,red,incongruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",332938,left,981,"1",""
"60",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,48,"16.67",334650,down,927,"1",""
"58",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,48,"16.67",336266,up,825,"1",""
"56",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.67",338186,right,1129,"1",""
"55",test,लाल,yellow,incongruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,48,"16.66",341306,right,2333,"1",""
"54",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,48,"16.67",343026,left,919,"1",""
"68",test,HARA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.67",347682,left,2074,"1",""
"66",test,PEELA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.67",350147,down,1673,"1",""
"70",test,NEELA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.67",352522,right,1582,"1",""
"65",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,48,"16.67",354307,right,1000,"1",""
"67",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.67",356226,up,1120,"1",""
"63",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,48,"16.67",358107,left,1083,"1",""
"64",test,LAAL,green,incongruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,48,"16.67",360762,up,1855,"1",""
"69",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,48,"16.67",362387,down,829,"1",""
"77",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.66",364355,down,1181,"1",""
"76",test,HARA,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"8","","","","",800,48,"16.67",365763,down,620,"1",""
"78",test,NEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.67",367475,left,917,"1",""
"71",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"8","","","","",800,48,"16.67",368979,left,705,"1",""
"73",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.67",370555,right,781,"1",""
"75",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.67",371987,up,646,"1",""
"72",test,LAAL,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"8","","","","",800,48,"16.66",373939,right,1165,"1",""
"74",test,PEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"8","","","","",800,48,"16.66",376011,up,1287,"1",""
"83",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.66",377755,up,947,"1",""
"81",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",379603,right,1061,"1",""
"79",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,48,"16.67",381123,left,732,"1",""
"84",test,HARA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"9","","","","",800,48,"16.67",382779,right,855,"1",""
"80",test,LAAL,blue,incongruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.67",384452,down,877,"1",""
"85",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"9","","","","",800,48,"16.67",386140,down,898,"1",""
"86",test,NEELA,green,incongruent,latin hindi,word,"800",up,"",left right up down,"9","","","","",800,48,"16.67",388299,up,1375,"1",""
"82",test,PEELA,red,incongruent,latin hindi,word,"800",left,"",left right up down,"9","","","","",800,48,"16.67",389772,left,680,"1",""
